Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
31960490,11/11/15 15:54,11/11/15 17:06,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10036,,,,,WEST   42 STREET,6 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/11/15 23:54,The Police Department responded to the complaint and determined that police action was not necessary.,11/11/15 17:06,05 MANHATTAN,MANHATTAN,988650,214286,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75484099,-73.98411855,"(40.75484098916205, -73.98411854690194)"
31960492,11/11/15 12:37,11/11/15 14:44,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10017,1 AVENUE,1 AVENUE,EAST 40 STREET,EAST 41 STREET,,,BLOCKFACE,NEW YORK,,Precinct,Closed,11/11/15 20:37,The Police Department responded to the complaint and took action to fix the condition.,11/11/15 14:44,06 MANHATTAN,MANHATTAN,992403,211728,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74781726,-73.97057549,"(40.74781726226857, -73.97057549147195)"
31960505,11/11/15 12:03,11/11/15 13:15,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10017,,,,,EAST   42 STREET,LEXINGTON AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/11/15 20:03,The Police Department responded to the complaint and took action to fix the condition.,11/11/15 13:15,05 MANHATTAN,MANHATTAN,990886,213048,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7514416,-73.9760491,"(40.75144159778515, -73.97604910329608)"
31960546,11/11/15 17:16,11/11/15 17:59,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10019,WEST 57 STREET,WEST 57 STREET,8 AVENUE,9 AVENUE,,,BLOCKFACE,NEW YORK,,Precinct,Closed,11/12/15 1:16,The Police Department responded to the complaint and took action to fix the condition.,11/11/15 17:59,04 MANHATTAN,MANHATTAN,988925,218490,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76637975,-73.98312303,"(40.766379749287005, -73.98312303259907)"
31961285,11/11/15 18:49,11/11/15 22:53,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10065,,,,,LEXINGTON AVENUE,EAST   63 STREET,INTERSECTION,NEW YORK,,Precinct,Closed,11/12/15 2:49,The Police Department responded and upon arrival those responsible for the condition were gone.,11/11/15 22:53,08 MANHATTAN,MANHATTAN,993569,217891,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76473197,-73.96635881,"(40.764731973680775, -73.96635880834104)"
31962604,11/11/15 13:19,11/11/15 14:38,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10010,,,,,GRAMERCY PARK NORTH,LEXINGTON AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/11/15 21:19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/11/15 14:38,06 MANHATTAN,MANHATTAN,988220,208230,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73821899,-73.98567417,"(40.738218992771266, -73.98567417277928)"
31962605,11/11/15 13:35,11/11/15 15:16,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10018,,,,,WEST   37 STREET,WEST   38 STREET,INTERSECTION,NEW YORK,,Precinct,Closed,11/11/15 21:35,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/11/15 15:16,04 MANHATTAN,MANHATTAN,984212,215548,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75830595,-74.00013717,"(40.75830595213619, -74.00013716513817)"
31962667,11/11/15 17:08,11/11/15 22:54,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10065,,,,,EAST   65 STREET,5 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/12/15 1:08,The Police Department responded and upon arrival those responsible for the condition were gone.,11/11/15 22:54,08 MANHATTAN,MANHATTAN,992482,219090,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.768024,-73.97028136,"(40.768023997074046, -73.97028136310426)"
31963293,11/11/15 17:09,11/11/15 17:28,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10036,WEST 45 STREET,WEST 45 STREET,8 AVENUE,9 AVENUE,,,BLOCKFACE,NEW YORK,,Precinct,Closed,11/12/15 1:09,The Police Department responded to the complaint and determined that police action was not necessary.,11/11/15 17:28,04 MANHATTAN,MANHATTAN,987072,216077,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75975747,-73.98981346,"(40.75975747147533, -73.9898134616816)"
31964004,11/12/15 10:12,11/12/15 16:32,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10019,,,,,WEST   56 STREET,BROADWAY,INTERSECTION,NEW YORK,,Precinct,Closed,11/12/15 18:12,The Police Department responded to the complaint and determined that police action was not necessary.,11/12/15 16:32,05 MANHATTAN,MANHATTAN,989239,218155,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76546009,-73.98198973,"(40.76546008934449, -73.98198972667757)"
31964818,11/12/15 8:48,11/12/15 10:03,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10037,,,,,PARK AVENUE,EAST  130 STREET,INTERSECTION,NEW YORK,,Precinct,Closed,11/12/15 16:48,The Police Department responded to the complaint and took action to fix the condition.,11/12/15 10:03,11 MANHATTAN,MANHATTAN,1001768,233740,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.80822079,-73.93671944,"(40.80822078632821, -73.93671944494388)"
31965741,11/12/15 11:24,11/12/15 11:50,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10012,CROSBY STREET,CROSBY STREET,BROOME STREET,SPRING STREET,,,BLOCKFACE,NEW YORK,,Precinct,Closed,11/12/15 19:24,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/12/15 11:50,02 MANHATTAN,MANHATTAN,984664,202335,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72203954,-73.99850644,"(40.72203954143662, -73.99850643511199)"
31966529,11/12/15 11:20,11/12/15 16:46,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Highway,10021,,,,,,,,NEW YORK,,Precinct,Closed,11/12/15 19:20,The Police Department responded and upon arrival those responsible for the condition were gone.,11/12/15 16:46,08 MANHATTAN,MANHATTAN,997922,218678,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,FDR Dr,Southbound/Downtown,Ramp,East 71st St (Exit 13),,,,40.76688642,-73.95064307,"(40.76688642460806, -73.95064306641594)"
31966656,11/12/15 14:42,11/12/15 16:44,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10065,1 AVENUE,1 AVENUE,EAST 62 STREET,EAST 63 STREET,,,BLOCKFACE,NEW YORK,,Precinct,Closed,11/12/15 22:42,This complaint does not fall under the Police Department's jurisdiction.,11/12/15 16:44,08 MANHATTAN,MANHATTAN,995226,216823,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76179869,-73.96037885,"(40.76179868718544, -73.96037885377716)"
31971821,11/13/15 9:51,11/13/15 14:04,NYPD,New York City Police Department,Traffic,Truck Route Violation,Street/Sidewalk,10003,RUTHERFORD PLACE,RUTHERFORD PLACE,EAST 17 STREET,EAST 16 STREET,,,BLOCKFACE,NEW YORK,,Precinct,Closed,11/13/15 17:51,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/13/15 14:04,06 MANHATTAN,MANHATTAN,988529,206804,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73430483,-73.98456005,"(40.734304830935876, -73.98456004689581)"
31972401,11/13/15 8:27,11/13/15 11:30,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10065,,,,,EAST   62 STREET,3 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/13/15 16:27,The Police Department responded to the complaint and determined that police action was not necessary.,11/13/15 11:30,08 MANHATTAN,MANHATTAN,993887,217417,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76343063,-73.96521152,"(40.763430625127384, -73.96521152160896)"
31974204,11/13/15 9:33,11/13/15 13:31,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10065,,,,,EAST   60 STREET,PARK AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/13/15 17:33,The Police Department responded to the complaint and determined that police action was not necessary.,11/13/15 13:31,08 MANHATTAN,MANHATTAN,992744,217459,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76354708,-73.96933757,"(40.76354707633747, -73.96933756870735)"
31974239,11/13/15 8:51,11/13/15 13:59,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10010,,,,,EAST   25 STREET,LEXINGTON AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/13/15 16:51,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/13/15 13:59,05 MANHATTAN,MANHATTAN,988736,209167,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74079058,-73.98381155,"(40.7407905784571, -73.98381155127129)"
31974756,11/13/15 15:30,11/13/15 16:02,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10036,,,,,WEST   43 STREET,11 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/13/15 23:30,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/13/15 16:02,04 MANHATTAN,MANHATTAN,984854,216712,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76150081,-73.99781969,"(40.76150081329756, -73.99781969164724)"
31975715,11/13/15 11:41,11/13/15 22:19,NYPD,New York City Police Department,Traffic,Truck Route Violation,Street/Sidewalk,10065,EAST 62 STREET,EAST 62 STREET,3 AVENUE,2 AVENUE,,,BLOCKFACE,NEW YORK,,Precinct,Closed,11/13/15 19:41,The Police Department responded and upon arrival those responsible for the condition were gone.,11/13/15 22:19,08 MANHATTAN,MANHATTAN,994196,217245,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76295819,-73.96409632,"(40.762958187246774, -73.96409632122314)"
31976042,11/13/15 14:50,11/13/15 15:43,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10001,,,,,WEST   28 STREET,11 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/13/15 22:50,The Police Department responded to the complaint and determined that police action was not necessary.,11/13/15 15:43,04 MANHATTAN,MANHATTAN,982942,213259,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75202313,-74.00472092,"(40.7520231327207, -74.00472092314611)"
31976397,11/13/15 14:34,11/13/15 15:23,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10016,,,,,FDR DRIVE,EAST   37 STREET,INTERSECTION,NEW YORK,,Precinct,Closed,11/13/15 22:34,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/13/15 15:23,06 MANHATTAN,MANHATTAN,992306,210768,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74518239,-73.97092672,"(40.745182392222965, -73.97092671830791)"
31976792,11/13/15 9:37,11/13/15 11:50,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10027,,,,,WEST  120 STREET,LENOX AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/13/15 17:37,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/13/15 11:50,10 MANHATTAN,MANHATTAN,998698,232414,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.80458684,-73.94781211,"(40.804586836572064, -73.94781210645304)"
31976885,11/14/15 18:39,11/14/15 22:48,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10022,,,,,3 AVENUE,EAST   55 STREET,INTERSECTION,NEW YORK,,Precinct,Closed,11/15/15 2:39,The Police Department responded to the complaint and determined that police action was not necessary.,11/14/15 22:48,06 MANHATTAN,MANHATTAN,992982,215784,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7589494,-73.96848059,"(40.758949399914954, -73.96848058993135)"
31978502,11/14/15 12:23,11/14/15 13:36,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10023,,,,,WEST   65 STREET,BROADWAY,INTERSECTION,NEW YORK,,Precinct,Closed,11/14/15 20:23,The Police Department responded to the complaint and took action to fix the condition.,11/14/15 13:36,07 MANHATTAN,MANHATTAN,989181,220914,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77303286,-73.98219708,"(40.773032859233346, -73.98219708225047)"
31979949,11/14/15 23:38,11/15/15 0:29,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10003,,,,,EAST   15 STREET,5 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/15/15 7:38,The Police Department responded and upon arrival those responsible for the condition were gone.,11/15/15 0:29,05 MANHATTAN,MANHATTAN,986157,207673,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73669085,-73.99311871,"(40.73669085103913, -73.99311870885126)"
31980027,11/14/15 22:53,11/14/15 23:12,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10003,,,,,EAST   13 STREET,5 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/15/15 6:53,The Police Department responded to the complaint and determined that police action was not necessary.,11/14/15 23:12,02 MANHATTAN,MANHATTAN,985880,207171,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73531304,-73.99411837,"(40.735313040368794, -73.9941183677841)"
31981573,11/14/15 14:23,11/14/15 15:14,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10065,,,,,EAST   63 STREET,SECOND AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/14/15 22:23,The Police Department responded to the complaint and took action to fix the condition.,11/14/15 15:14,08 MANHATTAN,MANHATTAN,994634,217302,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76311413,-73.96251511,"(40.763114133956435, -73.96251511418777)"
31984534,11/14/15 22:42,11/15/15 9:20,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Highway,10021,,,,,,,,NEW YORK,,Precinct,Closed,11/15/15 6:42,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/15/15 9:20,08 MANHATTAN,MANHATTAN,998647,219721,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,FDR Dr,Northbound/Uptown,Roadway,East 61st St / East 63rd St (Exit 12) - East 96th St (Exit 14),,,,40.76974804,-73.94802353,"(40.76974803729949, -73.94802352909336)"
31984649,11/14/15 15:59,11/14/15 17:54,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10036,WEST 43 STREET,WEST 43 STREET,AVENUE OF THE AMERICAS,BROADWAY,,,BLOCKFACE,NEW YORK,,Precinct,Closed,11/14/15 23:59,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/14/15 17:54,05 MANHATTAN,MANHATTAN,988436,214726,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75604878,-73.98489069,"(40.75604878107622, -73.98489068908108)"
31987674,11/14/15 15:46,11/14/15 16:17,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10019,,,,,WEST   49 STREET,7 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/14/15 23:46,The Police Department responded to the complaint and took action to fix the condition.,11/14/15 16:17,05 MANHATTAN,MANHATTAN,988757,216332,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76045668,-73.98373097,"(40.76045668270954, -73.98373096728758)"
31987675,11/14/15 22:22,11/14/15 22:57,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10065,,,,,FDR,EAST   60 STREET,INTERSECTION,NEW YORK,,Precinct,Closed,11/15/15 6:22,The Police Department responded and upon arrival those responsible for the condition were gone.,11/14/15 22:57,08 MANHATTAN,MANHATTAN,995721,215828,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75906704,-73.9585937,"(40.759067039294806, -73.95859370165776)"
31987829,11/14/15 21:51,11/15/15 7:28,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10009,424 EAST 11 STREET,EAST 11 STREET,1 AVENUE,AVENUE A,,,ADDRESS,NEW YORK,,Precinct,Closed,11/15/15 5:51,The Police Department responded to the complaint and took action to fix the condition.,11/15/15 7:28,03 MANHATTAN,MANHATTAN,988880,204895,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72906492,-73.98329484,"(40.72906491743403, -73.98329484417721)"
