DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/31/16,7:10,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3550766,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/16,7:10,,,40.6536361,-74.0082179,"(40.6536361, -74.0082179)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3550952,SPORT UTILITY / STATION WAGON,,,,
10/31/16,7:10,,,,,,WILLETS ST,FORT TOTTEN RESERVATION,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3551299,SPORT UTILITY / STATION WAGON,,,,
10/31/16,7:10,,,,,,WILLETS POINT BOULEVARD,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3551083,SPORT UTILITY / STATION WAGON,VAN,,,
10/31/16,7:10,,,,,,WHITE STREET,CORTLANDT ALLEY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3551420,TAXI,,,,
10/31/16,7:10,,,,,,PELHAM PARKWAY SOUTH,EASTCHESTER ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3551534,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/16,7:10,,,,,,PARSONS BOULEVARD,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3551084,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/16,7:10,,,,,,GRENFELL STREET,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3549938,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/16,7:10,,,,,,ELM PLACE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3551163,TAXI,TAXI,,,
10/31/16,7:10,,,,,,AMSTERDAM AVENUE,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3551187,SPORT UTILITY / STATION WAGON,,,,
10/31/16,7:10,,,,,,66 STREET,7 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3551687,PASSENGER VEHICLE,,,,
10/31/16,7:10,,,,,,20 AVENUE,WHITESTONE EXPRESSWAY,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Failure to Yield Right-of-Way,,,,3551081,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/16,7:10,QUEENS,11433,40.6954952,-73.7839338,"(40.6954952, -73.7839338)",169 STREET,110 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3550000,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/16,7:10,QUEENS,11368,40.7554606,-73.8563509,"(40.7554606, -73.8563509)",,,34-58     112 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3551113,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/16,7:10,MANHATTAN,10016,40.7489858,-73.979955,"(40.7489858, -73.979955)",EAST 37 STREET,PARK AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3552077,PASSENGER VEHICLE,,,,
10/31/16,7:10,BROOKLYN,11229,40.608466,-73.9562993,"(40.608466, -73.9562993)",QUENTIN ROAD,EAST 17 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Aggressive Driving/Road Rage,,,,3552871,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/16,7:10,BROOKLYN,11216,40.6773522,-73.9442307,"(40.6773522, -73.9442307)",PACIFIC STREET,BROOKLYN AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3552817,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/16,7:10,BROOKLYN,11213,40.6720632,-73.9252443,"(40.6720632, -73.9252443)",BUFFALO AVENUE,PARK PLACE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,3552821,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
10/31/16,7:10,BROOKLYN,11211,40.713721,-73.9349587,"(40.713721, -73.9349587)",MORGAN AVENUE,DEVOE STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3551765,PASSENGER VEHICLE,,,,
10/31/16,7:10,BROOKLYN,11207,40.6606564,-73.8857861,"(40.6606564, -73.8857861)",VAN SICLEN AVENUE,LINDEN BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3551334,PICK-UP TRUCK,PASSENGER VEHICLE,,,
10/31/16,7:10,BRONX,10461,40.8416896,-73.8400781,"(40.8416896, -73.8400781)",WESTCHESTER AVENUE,LITTLE LEAGUE PLACE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3551535,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/16,7:10,BRONX,10453,40.8511013,-73.9046746,"(40.8511013, -73.9046746)",GRAND CONCOURSE,EAST 179 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3550755,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/16,6:10,,,,,,,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3551485,PASSENGER VEHICLE,PICK-UP TRUCK,,,
10/31/16,6:10,,,,,,METROPOLITAN AVENUE,RENTAR PLAZA,,1,0,1,0,0,0,0,0,Unspecified,,,,,3550896,PASSENGER VEHICLE,,,,
10/31/16,6:10,,,,,,GRANT HIGHWAY,,,1,0,0,0,0,0,1,0,Unsafe Speed,Driver Inattention/Distraction,,,,3549976,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/16,6:10,,,40.7344828,-73.9224204,"(40.7344828, -73.9224204)",,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Oversized Vehicle,,,,3551067,PASSENGER VEHICLE,,,,
10/31/16,6:10,,,40.7297226,-73.7499585,"(40.7297226, -73.7499585)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3551066,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/16,6:10,MANHATTAN,10013,40.7184302,-74.0005303,"(40.7184302, -74.0005303)",CANAL STREET,LAFAYETTE STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3552170,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/16,6:10,BROOKLYN,11238,40.6716325,-73.9581577,"(40.6716325, -73.9581577)",,,552       LINCOLN PLACE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Other Vehicular,Unspecified,Unspecified,,3551008,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,
10/31/16,6:10,BROOKLYN,11213,40.6779236,-73.9398354,"(40.6779236, -73.9398354)",ATLANTIC AVENUE,AGATE COURT,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3551584,PASSENGER VEHICLE,,,,
