LATITUDE,LONGITUDE,,,,,
40.6464901,-74.0865359,,"[40.6464901,-74.0865359],",,,
40.7215902,-73.7502585,,"[40.7215902,-73.7502585],",,,
40.6668568,-73.8042452,,"[40.6668568,-73.8042452],",,,
40.6933986,-73.7659101,,"[40.6933986,-73.7659101],",,,
40.742731,-73.9149847,,"[40.742731,-73.9149847],",,,
40.7498691,-73.8627259,,"[40.7498691,-73.8627259],",,,
40.7599125,-73.9588098,,"[40.7599125,-73.9588098],",,,
40.7481822,-73.9845171,,"[40.7481822,-73.9845171],",,,
40.723044,-74.0032181,,"[40.723044,-74.0032181],",,,
40.7452931,-73.9984879,,"[40.7452931,-73.9984879],",,,
40.6383418,-74.0173526,,"[40.6383418,-74.0173526],",,,
40.8622253,-73.9111588,,"[40.8622253,-73.9111588],",,,
40.8336587,-73.8568759,,"[40.8336587,-73.8568759],",,,
40.8598744,-73.8932165,,"[40.8598744,-73.8932165],",,,
40.7265271,-73.9958437,,"[40.7265271,-73.9958437],",,,
40.695851,-73.8048921,,"[40.695851,-73.8048921],",,,
40.6093505,-73.7659959,,"[40.6093505,-73.7659959],",,,
40.7513433,-73.8855585,,"[40.7513433,-73.8855585],",,,
40.7545556,-73.8708626,,"[40.7545556,-73.8708626],",,,
40.7574579,-73.929054,,"[40.7574579,-73.929054],",,,
40.7791801,-73.9507928,,"[40.7791801,-73.9507928],",,,
40.7785518,-73.9512482,,"[40.7785518,-73.9512482],",,,
40.7400807,-73.9948433,,"[40.7400807,-73.9948433],",,,
40.6349148,-73.9949631,,"[40.6349148,-73.9949631],",,,
40.7243014,-73.8451618,,"[40.7243014,-73.8451618],",,,
40.7447332,-73.9335895,,"[40.7447332,-73.9335895],",,,
40.7044959,-73.817418,,"[40.7044959,-73.817418],",,,
40.7055756,-73.7984544,,"[40.7055756,-73.7984544],",,,
40.703954,-73.7338349,,"[40.703954,-73.7338349],",,,
40.7050296,-73.8200784,,"[40.7050296,-73.8200784],",,,
40.7890514,-73.9703009,,"[40.7890514,-73.9703009],",,,
40.7606005,-73.9643142,,"[40.7606005,-73.9643142],",,,
40.761391,-74.0017363,,"[40.761391,-74.0017363],",,,
40.7257971,-73.9976116,,"[40.7257971,-73.9976116],",,,
40.6317307,-73.8873992,,"[40.6317307,-73.8873992],",,,
